fidu,Field,NI,ND,NM,NL,NT,CI,CD,CM,CL,CT,EI,ED,EM,EL,ET,ECe18,ECa18,ECeg18,CRI,CRD,CRM,CRL,CRT,CCI,CCD,CCM,CCL,CCT
0,Muth2,0.328088462,1.023016035,2.794200778,1.366171359,5.511476634,0.768739223,1.671572328,3.458558619,3.226002217,9.124872387,2.274696791,17.94620393,17.11357507,3.029121811,40.3635976,3.394261837,0.81257309,2.374665737,0.719741365,0.39182396,0.330829602,0.575967393,0.426185431,0.06580455,0.022470003,0.442358002,0.452861152,0.292104214
1,Muth2,0.30044052,1.177188665,3.210644901,1.508219034,6.19649312,0.760638595,1.703675628,3.517354488,3.327864468,9.309533179,2.339150865,20.13009822,18.79568783,3.464787686,44.7297246,3.208956957,0.845900345,2.136132717,0.71180017,0.317814316,0.265056083,0.514980563,0.364115957,0.0393339,0,0.387546736,0.374168468,0.215531186
2,Muth2,0.261068702,1.154413938,3.21864885,1.525219724,6.159351214,0.750623286,1.688202441,3.501078785,3.28449893,9.224403442,2.430717733,20.6625771,20.27218934,3.930695547,47.29617972,3.418425083,0.920297165,2.33376956,0.700518488,0.299769224,0.207322319,0.449760298,0.32763087,0.001728294,0,0.339435266,0.290013288,0.170520759
3,Muth2,0.240182251,1.117547333,3.197078943,1.475558146,6.030366673,0.751281142,1.676586508,3.521716892,3.265372456,9.214956998,2.135019802,19.7224803,19.38424067,3.830440173,45.07218094,4.06781292,0.989348831,2.93185544,0.736950552,0.331628014,0.242042648,0.46379458,0.359247549,0.123168506,0,0.368368873,0.308122038,0.209525195
4,Muth2,0.233063489,1.083695292,3.193451882,1.445224226,5.955434889,0.747135401,1.671165288,3.511736751,3.306274593,9.236312033,1.648092219,18.08649168,17.48682877,3.462980297,40.68439297,3.235187531,1.025760193,2.16500783,0.796943453,0.387069771,0.316234737,0.51523357,0.421624959,0.323144843,0.014828528,0.430195614,0.37449493,0.286478113
5,Muth2,0.242900923,0.998112678,3.148796558,1.468839436,5.858649595,0.751256406,1.653302848,3.514663101,3.264551044,9.183773399,1.402624704,17.07019329,16.69252805,3.27778726,38.44313331,4.986408234,1.24101181,3.777881861,0.827186776,0.421510945,0.347293269,0.541157878,0.453487021,0.423955921,0.070186316,0.456077724,0.407945649,0.32578527
6,Muth2,0.248096198,1.006723255,3.15135628,1.369520695,5.775696428,0.757730603,1.666279017,3.48551762,3.271656275,9.181183515,1.599889118,17.55142335,17.34664986,3.401180003,39.89914233,4.745898247,1.194137039,3.556372404,0.802882414,0.405202616,0.321715975,0.523884705,0.432788192,0.34294138,0.043973707,0.434763312,0.385657684,0.300249819
7,Muth2,0.239247307,1.00462693,3.119834782,1.356141299,5.719850318,0.750448227,1.66510421,3.473515332,3.285152436,9.174220205,1.926134635,18.16647357,18.83361189,3.637391894,42.56361199,3.085694313,0.987189865,2.027324438,0.762686673,0.384359278,0.263573186,0.490818506,0.394909717,0.208955576,0.010471913,0.386310988,0.342991621,0.253520416
8,Muth2,0.269073009,0.946081579,2.80020392,1.355399683,5.370758191,0.746406913,1.63919717,3.452363014,3.218944252,9.056911349,2.399449991,18.47589858,18.679661,3.351426321,42.90643589,3.349755049,0.881027298,2.273672342,0.704370894,0.373873223,0.269592933,0.53084949,0.390036085,0.014569646,0,0.391327444,0.394644504,0.247507978
9,Muth2,0.265471607,1.112142951,3.197347998,1.520575315,6.095537871,0.752562106,1.673352778,3.530297756,3.304145754,9.260358394,2.189067532,19.34080333,18.59456977,3.402369971,43.5268106,3.774701595,0.991955948,2.661900282,0.730291492,0.344562604,0.272920147,0.523718127,0.381216751,0.100971639,0,0.394100122,0.385442744,0.236627862
